Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"RUKAANA (GB)",2021,GELDING,"DARK ANGEL (IRE)","SHUROOQ (GB)","Jonjo & A.J. O'Neill",75,,,,,,,,,100,,
"RULA BULA (IRE)",2019,FILLY,"MOUNT NELSON (GB)","KOPITAR (IRE)","Jonjo & A.J. O'Neill",,,,,,,,,,119,,
"RULE ME IN (IRE)",2019,GELDING,"MAHLER (GB)","DON'T RULE ME OUT (IRE)","Christian Williams",,,,,,,86,,,,,
"RULE OF THE AGENCY (GB)",2024,COLT,"WITHOUT PAROLE (GB)","BRAZILIAN BEACH (IRE)","Tim Easterby",64,new,,,,,,,,,,
"RULER LEGEND (IRE)",2019,GELDING,"CAMELOT (GB)","AVENUE DARGENT (FR)","Gary Hanmer",72,,,,,,,,,91,,
"RULER OF THE RIVER (IRE)",2020,FILLY,"RULER OF THE WORLD (IRE)","ROCKYRIVER GIRL (IRE)",,42,,,,,,78,,,78,,
"RULER OF TIME (USA)",2023,GELDING,"NOT THIS TIME (USA)","CAT'S PAJAMAS (USA)",,86,,,,,,,,,,,
"RULER'S PRIDE (IRE)",2024,COLT,"MEHMAS (IRE)","SUPERIORITY (IRE)","K. R. Burke",93,,,,,,,,,,,
"RUM DIAMOND (GB)",2023,GELDING,"PLANTEUR (IRE)","DIAMOND BANGLE (IRE)","Max Comley",57,,,,,,,,,,,
"RUM THERAPY (IRE)",2023,FILLY,"DARK ANGEL (IRE)","GYPSY SPIRIT (GB)",,65,,,,,,,,,,,
"RUMBA BAY (GB)",2022,FILLY,"HAVANA GREY (GB)","NELLIE ELLIS (IRE)",,50,,,,,,,,,,,
"RUMBA NUMBA (GB)",2022,FILLY,"TOO DARN HOT (GB)","ASTONISHING (IRE)","Roger Varian",92,,,,,,,,,,,
"RUMBLE RUBY (GB)",2023,FILLY,"RUMBLE INTHEJUNGLE (IRE)","BAKOURA (GB)","Lemos De Souza",75,+6,,,,,,,,,,
"RUMBUSTIOUS (GB)",2023,COLT,"DUBAWI (IRE)","WALL OF SOUND (GB)",,63,,,,,,,,,,,
"RUMOURSAREFLYING (GB)",2018,GELDING,"BLUE BRESIL (FR)","CIRCUS ROSE (GB)","Pam Sly",,,,,,,118,,,,,
"RUMSTAR (GB)",2020,GELDING,"HAVANA GREY (GB)","STELLARTA (GB)","Jonathan Portman",110,,,,,,,,,,,
"RUN BABY RUN (IRE)",2021,GELDING,"MAHLER (GB)","DUFFYS GRANGE (IRE)","R. Mike Smith",,,,,,,,,,67,,
"RUN BOY RUN (GB)",2021,GELDING,"RAJASINGHE (IRE)","INSTRUCTRESS (GB)","Richard Spencer",100,,,,,,,,,,,
"RUN OF LUCK (GB)",2021,GELDING,"EL KABEIR (USA)","LUCKY BREEZE (IRE)","Ed de Giles",53,,,,,,,,,,,
"RUN THIS WAY (GB)",2018,FILLY,"CANNOCK CHASE (USA)","PRIME RUN (GB)","Paul Midgley",58,,,,,,,,,,,
"RUNAMARA (IRE)",2023,GELDING,"RIBCHESTER (IRE)","SAMARA MARA (IRE)","John & Rhys Flint",52,,,,,,,,,,,
"RUNMAN (GB)",2023,COLT,"FRANKEL (GB)","BELLA NOUF (GB)","John & Thady Gosden",93,+3,,,,,,,,,,
"RUNNING THE GAME (FR)",2020,GELDING,"ALMANZOR (FR)","COOL ESPRIT (IRE)",,60,,,,,,,,,,,
"RUNNINMAN (IRE)",2023,GELDING,"MEHMAS (IRE)","MERRY JAUNT (USA)","Donald Whillans",45,,,,,,,,,,,
"RUNNINSONOFAGUN (IRE)",2022,GELDING,"INNS OF COURT (IRE)","HIGH SOCIETY LADY (IRE)","Tristan Davidson",68,,,,,,,,,,,
"RUNSWICK (IRE)",2023,COLT,"GHAIYYATH (IRE)","BELIEF (GB)","Ed Dunlop",87,,,,,,,,,,,
"RUPERT RITZIK (IRE)",2023,GELDING,"SOLDIER'S CALL (GB)","BEAUTIFUL FOREST (GB)",,40,,,,,,,,,,,
"RUPERT THE PRINCE (IRE)",2022,GELDING,"GOLDEN HORN (GB)","DRAGON BEAT (IRE)","Rebecca Menzies",57,,,,,,,,,,,
"RUSHEEN BOY (GB)",2021,GELDING,"COACH HOUSE (IRE)","DISPLAYING AMBER (GB)","Julia & Shelley Birkett",63,,,,,,,,,,,
"RUSSET GOLD (GB)",2020,GELDING,"AL KAZEEM (GB)","AFFLUENT (GB)","Kevin Ryan",82,,,,,,,,,,,
"RUSSIAN RUMOUR (IRE)",2017,FILLY,"MAKE BELIEVE (GB)","RUSSIAN RAVE (GB)","Jonathan Portman",78,,,,,,,,,,,
"RWENEARLYTHEREDAD (GB)",2020,GELDING,"HAVANA GREY (GB)","KING'S GUEST (IRE)","Declan Carroll",58,,,,,,,,,,,
"RYAN'S ROCKET (IRE)",2018,GELDING,"JET AWAY (GB)","SMITHS LADY (IRE)","Fergal O'Brien",,,,,,,139,,,,,
"RYDALE FROSTY (GB)",2023,GELDING,"HAVANA GREY (GB)","PRIMROSE VALLEY (GB)","David Simcock",89,,,,,,,,,,,
"RYDER'S ROCK (GB)",2018,FILLY,"FASCINATING ROCK (IRE)","FEATHERWEIGHT (IRE)",,,,,,,,79,,,79,,
"RYE (GB)",2022,FILLY,"MASSAAT (IRE)","GET EVEN (GB)","Tony Carroll",58,,,,,,,,,,,
"RYEBRIDGE (IRE)",2020,GELDING,"DIAMOND BOY (FR)","PRETTY VALIRA (IRE)","Joel Parkinson & Sue Smith",,,,,,,,,,113,,
"RYEFIELD (GB)",2023,GELDING,"ARDAD (IRE)","CHARLIE EM (GB)","Lawrence Mullaney",48,-2,,,,,,,,,,
"RYKA (IRE)",2022,FILLY,"NIGHT OF THUNDER (IRE)","TULIP FIELDS (GB)","David O'Meara",97,,,,,,,,,,,
"SAACHI (IRE)",2021,GELDING,"ADVERTISE (GB)","BEAUTIFUL GESTURE (GB)","Ian Williams",50,,,,,,,,,83,,
"SAAHIR (IRE)",2022,GELDING,"MAKE BELIEVE (GB)","SIMPLE MAGIC (IRE)","Gihan Arnolda",55,,,,,,,,,,,
"SABER STRIKE (IRE)",2023,COLT,"NIGHT OF THUNDER (IRE)","SWISS AIR (GB)","William Haggas",107,,,,,,,,,,,
"SABLE ISLAND (GB)",2024,FILLY,"RAJASINGHE (IRE)","ANNIE SALTS (GB)","Chris Dwyer",62,,,,,,,,,,,
"SACCARY (GER)",2019,GELDING,"NATHANIEL (IRE)","SURVEY (GER)","David Pipe",,,,,,,,,,89,,
"SACRED GROUND (GB)",2023,FILLY,"KINGMAN (GB)","ANAPURNA (GB)","John & Thady Gosden",96,,,,,,,,,,,
"SADDADD (IRE)",2022,COLT,"PINATUBO (IRE)","TALMADA (USA)","Roger Varian",116,,,,,,,,,,,
"SADDLE UP (IRE)",2023,GELDING,"KESSAAR (IRE)","QUEEN'S ORDER (GB)",,42,,,,,,,,,,,
"SADIES DIAMOND (IRE)",2019,FILLY,"DIAMOND BOY (FR)","KEATS QUEEN (IRE)","Seamus Mullins",,,,,,,,,,78,,
"SADIIKI (GB)",2021,FILLY,"LAND FORCE (IRE)","MAGIC APPROACH (GB)","Fred Watson",40,,,,,,,,,,,
"SAECULAMATION (IRE)",2023,GELDING,"ACCLAMATION (GB)","SAECULA SAECULORUM (IRE)","George Margarson",45,,,,,,,,,,,
"SAFARI DREAM (IRE)",2020,GELDING,"BUNGLE INTHEJUNGLE (GB)","GRANDMAS DREAM (GB)","Rod Millman",72,,,,,,,,,,,
"SAFE DESTINATION (GB)",2018,GELDING,"PETHER'S MOON (IRE)","LEIGHTON LASS (GB)","Nigel & Willy Twiston-Davies",,,,,,,107,,,,,
"SAFE HARBOR (GB)",2023,FILLY,"TERRITORIES (IRE)","HARBOUR OF GRACE (FR)",,68,,,,,,,,,,,
"SAFE ZONE (IRE)",2023,FILLY,"MEHMAS (IRE)","OUTSIDE INSIDE (IRE)",,69,,,,,,,,,,,
"SAFFRON DANDY (IRE)",2023,FILLY,"DANDY MAN (IRE)","SAFFIAN (GB)","Richard Hannon",79,,,,,,,,,,,
"SAFIO'S PRINCESS (GB)",2021,FILLY,"OUTSTRIP (GB)","LOVE ISLAND (GB)","Simon Whitaker",33,,,,,,,,,,,
"SAGE GREEN (IRE)",2020,GELDING,"SAGEBURG (IRE)","GAYE STEEL (IRE)","Syd Hosie",,,,,,,105,,,105,,
"SAGREMOR (IRE)",2023,GELDING,"ARMOR (GB)","MY LOVE'S PASSION (FR)","David Menuisier",63,,,,,,,,,,,
"SAHANA (GB)",2022,FILLY,"TOO DARN HOT (GB)","MONTALCINO (IRE)","David Simcock",68,,,,,,,,,,,
"SAHARA KING (GB)",2023,GELDING,"TOO DARN HOT (GB)","KAHALA QUEEN (IRE)","Richard Hannon",99,,,,,,,,,,,
"SAHARA MAGIC (GB)",2023,FILLY,"LOPE Y FERNANDEZ (IRE)","LISIERE (IRE)",,63,,,,,,,,,,,
"SAHM NAIF (IRE)",2023,GELDING,"CHURCHILL (IRE)","EOS (IRE)","James Horton",62,-2,,,,,,,,,,
"SAIDHA (GB)",2022,FILLY,"CIRCUS MAXIMUS (IRE)","HAIRSPRAY (GB)",,48,,,,,,,,,,,
"SAIL ON SAILOR (GB)",2023,GELDING,"EQTIDAAR (IRE)","MUMTAZA (GB)","Simon Dow",66,,,,,,,,,,,
"SAILING BY (IRE)",2021,GELDING,"SHIROCCO (GER)","SAILINGTOBYZANTIUM (IRE)","Joe Tizzard",,,,,,,,,,89,,
"SAILOR BATT (IRE)",2023,GELDING,"COULSTY (IRE)","NORA BATT (IRE)","David & Nicola Barron",62,,,,,,,,,,,
"SAILOR SONG (GB)",2023,GELDING,"ZARAK (FR)","A LA VOILE (GB)","Mark Loughnane",82,,,,,,,,,,,
"SAILOR'S RETURN (GB)",2023,FILLY,"SOLDIER HOLLOW (GB)","CLOSING BELL (GB)","David O'Meara",61,,,,,,,,,,,
"SAILTHISSHIPALONE (GB)",2021,GELDING,"HAVANA GOLD (IRE)","LIBERISQUE (GB)","Ivan Furtado",74,,,,,,,,,,,
"SAINT ARION (IRE)",2021,GELDING,"ORDER OF ST GEORGE (IRE)","ONLY ORVIETO (IRE)","Jonjo & A.J. O'Neill",,,,,,,,,,97,,
"SAINT CYR DE PAIL (FR)",2019,GELDING,"KAPGARDE (FR)","DAME DE PAIL (FR)","Mrs Jane Williams",,,,,,,104,,,,,
"SAINT DAVY (FR)",2017,GELDING,"BALKO (FR)","SAINTEJOIE (FR)",,,,,,,,130,,,,,
"SAINT ETIENNE (GB)",2020,GELDING,"LE HAVRE (IRE)","IDEAL WORLD (IRE)","Brian Ellison",92,,,,,,,,,,,
"SAINT LAWRENCE (IRE)",2018,GELDING,"AL KAZEEM (GB)","AFFLUENT (GB)","Kevin Ryan",80,,,,,,,,,,,
"SAINT PALAIS (FR)",2017,GELDING,"SAINT DES SAINTS (FR)","LADIES CHOICE (FR)","Richard Bandey",,,,,,,127,,,117,,
"SAINT POLO (FR)",2020,GELDING,"STORM THE STARS (USA)","UNE ROYAL (FR)","Jennie Candlish",,,,,,,101,,,106,,
"SAINT SEGAL (FR)",2018,GELDING,"SAINT DES SAINTS (FR)","BAL CELTIQUE (FR)","Mrs Jane Williams",,,,,,,154,,,,,
"SAINT TERRY (IRE)",2021,GELDING,"GALILEO (IRE)","PINK DOGWOOD (IRE)",,42,,,,,,,,,,,
"SAINT VIC (FR)",2019,GELDING,"KAMSIN (GER)","PASSIONNANTE (FR)","Anthony Day",,,,,,,,,,76,,
"SAINTE DOCTOR (FR)",2016,FILLY,"DOCTOR DINO (FR)","PAKOONAH (GB)",,,,,,,,122,,,,,
"SAISONS D'OR (IRE)",2015,GELDING,"HAVANA GOLD (IRE)","DEUX SAISONS (GB)","Jedd O'Keeffe",57,,,,,,,,,,,
"SAKOWIN (IRE)",2024,COLT,"SIOUX NATION (USA)","TRANQUIL SPIRIT (IRE)","Richard Hughes",65,,,,,,,,,,,
"SALADINS SON (IRE)",2018,GELDING,"TOBOUGG (IRE)","DENNY DE LAP (IRE)","Anthony Honeyball",,,,,,,121,,,,,
"SALAM DUBAWI (GB)",2022,GELDING,"DUBAWI (IRE)","PALMAROLA (IRE)","Jim Goldie",86,,,,,,,,,,,
"SALAMANCA CITY (IRE)",2021,FILLY,"PHOENIX OF SPAIN (IRE)","SHARQAWIYAH (GB)","James Fanshawe",89,,,,,,,,,,,
"SALAMIS BAY (GB)",2023,FILLY,"SHOWCASING (GB)","DESERT LIAISON (GB)","Gay Kelleway",59,,,,,,,,,,,
"SALARIA (IRE)",2022,FILLY,"HIGHLAND REEL (IRE)","SURA (IRE)","Charlie Clover",76,,,,,,,,,,,
"SALE SHARK (IRE)",2024,COLT,"BAYSIDE BOY (IRE)","BAYJA (IRE)","Hugo Palmer",94,,,,,,,,,,,
"SALIGO BAY (IRE)",2018,GELDING,"NEW BAY (GB)","GLORIFICATION (GB)","Sam England",75,,,,,,,,,121,,
"SALIKO (GB)",2022,FILLY,"KAMEKO (USA)","SALIYNA (FR)","Jack Jones",60,,,,,,,,,,,
"SALKADAN (GB)",2023,GELDING,"ULYSSES (IRE)","DONATIA (GB)","Dan Skelton",67,,,,,,,,,,,
"SALLAAL (IRE)",2022,GELDING,"FRANKEL (GB)","NAHRAIN (GB)","Roger Varian",119,,,,,,,,,,,
"SALLEY GARDENS (IRE)",2016,GELDING,"YEATS (IRE)","GLENLOGAN (IRE)","Jake Coulson",,,,,,,107,,,,,
"SALLY ANNE'S DREAM (GB)",2021,FILLY,"WUSOOL (USA)","MEY BLOSSOM (GB)","Suzzanne France",43,,,,,,,,,,,
"SALLYVILLE LADY (IRE)",2020,FILLY,"AFFINISEA (IRE)","MTPOCKETS (IRE)","Dan Skelton",,,,,,,,,,111,,
"SALVE ELECTRA (IRE)",2022,FILLY,"EXPERT EYE (GB)","SALVE ETOILES (IRE)",,57,,,,,,,,,,,
"SALVER (FR)",2020,GELDING,"MOTIVATOR (GB)","SALVE EVITA (GB)","Gary & Josh Moore",,,,,,,150,,,,,
"SAM BROWN (GB)",2012,GELDING,"BLACK SAM BELLAMY (IRE)","CREAM CRACKER (GB)",,,,,,,,145,,,,,
"SAM'S AMOUR (GB)",2017,FILLY,"BLACK SAM BELLAMY (IRE)","APHRODISIAS (FR)","Keiran Burke",,,,,,,,,,87,,
"SAM'S FALCON (GB)",2019,GELDING,"BLACK SAM BELLAMY (IRE)","FALCON'S GUNNER (GB)",,,,,,,,,,,76,,
"SAM'S HOPE (GB)",2020,FILLY,"AWTAAD (IRE)","DELIGHTFUL BELLE (USA)","Martin Dunne",73,,,,,,,,,,,
"SAM'S XPRESS (IRE)",2020,GELDING,"FULBRIGHT (GB)","COOL NO MORE (IRE)","Julia & Shelley Birkett",64,,,,,,,,,,,
"SAMBEZI (FR)",2016,GELDING,"RAJSAMAN (FR)","TUNIS (FR)","Mrs L. Pomfret",,,,,,,103,,,,,
"SAMRA GREEN (IRE)",2023,FILLY,"SAXON WARRIOR (JPN)","LADY'S MAID (USA)","K. R. Burke",86,,,,,,,,,,,
"SAMRA STAR (IRE)",2021,FILLY,"MAGNA GRECIA (IRE)","BINT SAMRAAN (GB)","Linda Perratt",62,,,,,,,,,,,
"SAMUEL COLT (IRE)",2021,GELDING,"NO NAY NEVER (USA)","LESSON IN LIFE (GB)","Amanda Perrett",75,,,,,,,,,,,
"SAMUEL SPADE (GER)",2019,GELDING,"MYBOYCHARLIE (IRE)","SUMMARILY (IRE)","Ben Pauling",,,,,,,124,,,,,
"SAN FRANCISCO BAY (IRE)",2019,GELDING,"MUHAARAR (GB)","STOR MO CHROI (IRE)","Henry Candy",52,,,,,,,,,,,
"SAN JUANITO (GB)",2022,GELDING,"LOPE DE VEGA (IRE)","ONE VOICE (IRE)","Mike Murphy",70,-4,,,,,,,,,,
"SAN MUNOZ (GB)",2022,GELDING,"KINGMAN (GB)","MANUELA DE VEGA (IRE)",,58,,,,,,,,,,,
"SANAAM (IRE)",2023,GELDING,"BLUE POINT (IRE)","HOLLYWOOD LADY (GB)","Simon & Ed Crisford",80,,,,,,,,,,,
"SANAFI ZABEEL (FR)",2021,GELDING,"INTELLO (GER)","FULL ROSE (GB)","Jim Goldie",68,+5,,,,,,,,,,
"SANBONA (IRE)",2022,GELDING,"COULSTY (IRE)","MILLY'S SECRET (IRE)",,52,,,,,,,,,,,
"SANBONA WARRIOR (IRE)",2024,COLT,"TEN SOVEREIGNS (IRE)","KYLLA LOOKS (GB)","William Knight",77,,,,,,,,,,,
"SAND GAZELLE (GB)",2022,FILLY,"FRANKEL (GB)","DESIROUS (GB)",,97,,,,,,,,,,,
"SAND LILY (GB)",2023,FILLY,"ARDAD (IRE)","SANDS OF TIME (GB)","Karen Jewell",55,,,,,,,,,,,
"SAND SEA (GB)",2022,GELDING,"PEARL SECRET (GB)","ROYS DREAM (GB)","David & Nicola Barron",60,,,,,,,,,,,
"SANDAL'S SONG (USA)",2023,GELDING,"MENDELSSOHN (USA)","SANDAL (USA)","K. R. Burke",100,,,,,,,,,,,
"SANDITON (IRE)",2022,GELDING,"FOOTSTEPSINTHESAND (GB)","CANASTA (GB)","Charlie Johnston",53,,,,,,,,,,,
"SANDRET (IRE)",2016,GELDING,"ZEBEDEE (GB)","SAVA SUNSET (IRE)","Sam England",62,,,,,,,,,,,
"SANDS OF DUBAI (GB)",2022,FILLY,"SANDS OF MALI (FR)","JUMEIRAH STREET (USA)",,48,,,,,,,,,,,
"SANDS OF HAVANA (GB)",2022,FILLY,"HAVANA GREY (GB)","BENTAYGA GIRL (GB)",,55,,,,,,,,,,,
"SANDS OF JOSEPI (IRE)",2023,GELDING,"SANDS OF MALI (FR)","FAUNETA (FR)","Brian Ellison",71,,,,,,,,,,,
"SANDS OF SEVE (GB)",2023,GELDING,"SANDS OF MALI (FR)","MIA TIA (GB)","Gary Harrison",52,,,,,,,,,,,
"SANDSCAPE (GB)",2020,GELDING,"CITYSCAPE (GB)","HAYLEY BELLE (IRE)","Henry Daly",,,,,,,90,,,90,,
"SANDSCREENDELIVERD (GB)",2022,GELDING,"BATED BREATH (GB)","BLUE AEGEAN (GB)","Peter Crate",67,-2,,,,,,,,,,
"SANDY CRAIC (IRE)",2023,FILLY,"STARMAN (GB)","BEACH WEDDING (IRE)","David O'Meara",71,,,,,,,,,,,
"SANGARA (IRE)",2022,FILLY,"BUNGLE INTHEJUNGLE (GB)","JEREMYS JOY (IRE)","Sheena West",48,,,,,,,,,,,
"SANILAM (IRE)",2020,GELDING,"MALINAS (GER)","TERRE HAUTE (IRE)","Sandy Thomson",,,,,,,,,,126,,
"SANITISER (GB)",2019,GELDING,"THE GURKHA (IRE)","SPICY DAL (GB)","Gary & Josh Moore",,,,,,,104,,,,,
"SANNY DOO (GB)",2023,GELDING,"MAYSON (GB)","BELLA GLENEAGLES (IRE)","Jim Goldie",43,,,,,,,,,,,
"SANS BRUIT (FR)",2018,GELDING,"TRIPLE THREAT (FR)","SWEDISH DANCER (IRE)","Paul Nicholls",,,,,,,130,,,,,
"SANS OF GOLD (IRE)",2018,GELDING,"SANS FRONTIERES (IRE)","SHANNON PEARL (IRE)","Jimmy Frost",,,,,,,63,,,,,
"SANSANETTI (IRE)",2022,FILLY,"SOTTSASS (FR)","SANAYA (IRE)","Stuart Williams",63,+4,,,,,,,,,,
"SANT ALESSIO (IRE)",2021,GELDING,"TOO DARN HOT (GB)","AGATHE SAINTE (GB)","Joe Tickle",68,,,,,,,,,,,
"SANTIAGO BOY (GB)",2023,GELDING,"MAYSON (GB)","ATLANTIC ISLE (GER)","Charles Hills",71,+1,,,,,,,,,,
"SANTO (GB)",2024,FILLY,"A'ALI (IRE)","MAUREEN (IRE)","Eve Johnson Houghton",63,,,,,,,,,,,
"SANTORINI STAR (IRE)",2021,FILLY,"GOLDEN HORN (GB)","LIVIA'S DREAM (IRE)","William Haggas",111,,,,,,,,,,,
"SANTOS BLUE (GB)",2017,GELDING,"BLUE BRESIL (FR)","MAYBE PLENTY (GB)","Olly Murphy",,,,,,,,,,140,,
"SAO CARLOS (GB)",2018,GELDING,"BLUE BRESIL (FR)","VALLEYOFTHEDOLLS (GB)","Lizzie Quinlan",,,,,,,81,,,81,,
"SAPPHIRE DREAM (IRE)",2023,GELDING,"COTAI GLORY (GB)","FRENCH BLUE (GB)","Jo Davis",51,,,,,,,,,,,
"SAPPHIRE PRINCESS (GB)",2022,FILLY,"KINGMAN (GB)","DESERT DIAMOND (GB)",,77,,,,,,,,,,,
"SAPPHIRE SECRET (GB)",2023,FILLY,"KINGMAN (GB)","WHATAMI (GB)",,72,,,,,,,,,,,
"SAPPHIRE SIROCCO (GB)",2021,FILLY,"STUDY OF MAN (IRE)","SAPHIRA'S FIRE (IRE)","Barry Murphy",50,,,,,,,,,,,
"SAPPHIRE STEPS (IRE)",2023,FILLY,"DARK ANGEL (IRE)","HIDDEN STEPS (GB)","Richard Hannon",78,,,,,,,,,,,
"SARAB STAR (GB)",2022,COLT,"ZOUSTAR (AUS)","MABINIA (IRE)","Jack Channon",98,,,,,,,,,,,
"SARABI (GB)",2022,FILLY,"SIYOUNI (FR)","SIMMIE (IRE)",,48,,,,,,,,,,,
"SARACEN BEAU (IRE)",2019,GELDING,"MOUNT NELSON (GB)","CAROLINE FONTENAIL (IRE)","Dan Skelton",,,,,,,127,,,127,,
"SARAFINA MSHAIRI (GB)",2022,FILLY,"CABLE BAY (IRE)","SARABI MSHAIRI (GB)","Edward Smyth-Osbourne",62,,,,,,,,,,,
"SARANGPUR (IRE)",2022,GELDING,"ARIZONA (IRE)","FALCON CLIFFS (IRE)","Richard Hughes",74,,,,,,,,,,,
"SARATOGA GOLD (GB)",2018,GELDING,"MAYSON (GB)","LADY SYLVIA (GB)","Kevin & Lauren Frost",61,,,,,,,,,,,
"SARGENT DENNIS (IRE)",2023,GELDING,"INVINCIBLE ARMY (IRE)","GABRIDAN (IRE)","Jack Channon",72,,,,,,,,,,,
"SASSICAIA (IRE)",2023,GELDING,"ST MARK'S BASILICA (FR)","BELLAJEU (GB)","Owen Burrows",77,,,,,,,,,,,
"SASSIFIED (IRE)",2018,GELDING,"EXCELEBRATION (IRE)","SATWA PEARL (GB)",,67,,,,,,,,,,,
"SASSY GLORY (IRE)",2021,FILLY,"OASIS DREAM (GB)","SASSY GAL (IRE)","Mark Walford",49,,,,,,,,,,,
"SATELLITE OF LOVE (IRE)",2024,COLT,"MINZAAL (IRE)","MAYBRIDE (GB)","Clive Cox",91,+1,collateral,,,,,,,,,
"SATTAM (GB)",2019,GELDING,"SEA THE STARS (IRE)","TARAYEF (IRE)","Dianne Sayer",,,,,,,,,,93,,
"SATURDAY AGAIN (GB)",2023,FILLY,"ROSEMAN (IRE)","STATE SOVEREIGNTY (GB)","Simon Dow",45,,,,,,,,,,,
"SATURN SEVEN (IRE)",2020,FILLY,"SIOUX NATION (USA)","SATURN GIRL (IRE)",,60,,,,,,,,,,,
"SATURNALIA (GER)",2020,GELDING,"HOLY ROMAN EMPEROR (IRE)","SOPRANA (GER)","J. S. Moore",48,,,,,,,,,,,
"SATYRESS (GB)",2022,FILLY,"WALDGEIST (GB)","AVENUE DARGENT (FR)","Harriet Bethell",51,+2,,,,,,,,,,
"SAUCATS (FR)",2021,GELDING,"NIRVANA DU BERLAIS (FR)","TANESHKA (FR)","Joe Tickle",,,,,,,,,,82,,
"SAUCE OF LIFE (IRE)",2015,GELDING,"CALIFET (FR)","SALSAPARILLA (FR)","Nicky Richards",,,,,,,,,,101,,
"SAUCY JANE (GB)",2023,FILLY,"LOPE Y FERNANDEZ (IRE)","SEA HORN (FR)","Jack Morland",79,,,,,,,,,,,
"SAVAGE MARINER (IRE)",2024,GELDING,"BLACKBEARD (IRE)","VOICE OF TRUTH (IRE)","Hugo Palmer",87,,,,,,,,,,,
"SAVANNAH GREY (IRE)",2022,FILLY,"HAVANA GREY (GB)","SWEET ALABAMA (GB)",,73,,,,,,,,,,,
"SAVANNAH SMILES (IRE)",2020,FILLY,"UNFORTUNATELY (IRE)","SILICON STAR (FR)","Grace Harris",64,,,,,,,,,,,
"SAVED LIZZIE (GB)",2020,FILLY,"RECHARGE (IRE)","LADY ARTISTE (IRE)","John Butler",42,,,,,,,,,,,
"SAVILE ROW (IRE)",2023,COLT,"NO NAY NEVER (USA)","MISSION SECRETE (IRE)","Antony Brittain",80,,,,,,,,,,,
"SAVOY BLUE (IRE)",2024,FILLY,"SPACE BLUES (IRE)","SAVOY SHOWGIRL (IRE)","Jim Goldie",36,,,,,,,,,,,
"SAVROLA (IRE)",2019,GELDING,"CHURCHILL (IRE)","TOUJOURS L'AMOUR (GB)","Dianne Sayer",77,,,,,,,,,,,
"SAVVI ROW (GB)",2023,GELDING,"TASLEET (GB)","KINDIA (IRE)","Rod Millman",46,,,,,,,,,,,
"SAVVY DISKO (IRE)",2023,COLT,"DARK ANGEL (IRE)","DISKO (IRE)","S. P. C. Woods",94,,,,,,,,,,,
"SAVVY VICTORY (IRE)",2019,GELDING,"NEW BAY (GB)","HIGHLANDS QUEEN (FR)","S. P. C. Woods",93,,,,,,,,,,,
"SAWGRASS (GB)",2021,FILLY,"GLENEAGLES (IRE)","STAR ROCK (GB)",,63,,,,,,,,,,,
"SAWPIT SAMANTHA (GB)",2018,FILLY,"CHAMPS ELYSEES (GB)","SAWPIT SUPREME (GB)",,,,,,,,66,,,,,
"SAWPIT SIENNA (GB)",2015,FILLY,"DYLAN THOMAS (IRE)","SAWPIT SUPREME (GB)","Samuel Drinkwater",,,,,,,,,,71,,
"SAX APPEAL (GB)",2020,GELDING,"SAXON WARRIOR (JPN)","ISOBEL ARCHER (GB)","Charlie Johnston",84,,,87,,,,,,,,
"SAXON CROSS (IRE)",2020,GELDING,"SAXON WARRIOR (JPN)","MY BRUNETTE (IRE)","Stuart Edmunds",,,,,,,,,,96,,
"SAXON GEM (IRE)",2023,FILLY,"SAXON WARRIOR (JPN)","GLENLINI (GB)","Jim Goldie",45,,,,,,,,,,,
"SAXON GRACE (IRE)",2023,FILLY,"SAXON WARRIOR (JPN)","RAAJIHAH (GB)","Daragh Bourke",70,+11,,,,,,,,,,
"SAXON KINGDOM (IRE)",2021,GELDING,"SAXON WARRIOR (JPN)","BOUNDLESS JOY (AUS)",,45,,,,,,,,,,,
"SAXON PRINCE (GB)",2023,GELDING,"SAXON WARRIOR (JPN)","FRANKELLA (GB)","John & Sean Quinn",63,,,,,,,,,,,
"SAXON STREET (IRE)",2023,COLT,"SAXON WARRIOR (JPN)","SEA IS GOLD (IRE)","John & Thady Gosden",105,,,,,,,,,,,
"SAXOPHONIC (GB)",2023,GELDING,"DUBAWI (IRE)","CRITERIA (IRE)","David Simcock",52,,,,,,,,,,,
"SAXOPHONIST (IRE)",2023,GELDING,"SAXON WARRIOR (JPN)","MACHEERA (IRE)","David O'Meara",72,,,,,,,,,,,
"SAY WHAT YOU SEE (IRE)",2022,GELDING,"BELARDO (IRE)","CATCHPHRASE (IRE)","Liam Bailey",91,,,,,,,,,,,
"SAYIDAH ALEEN (IRE)",2023,FILLY,"TEN SOVEREIGNS (IRE)","SANNA BAY (IRE)",,65,,,,,,,,,,,
"SAYIDAH ARDAD (GB)",2024,FILLY,"ARDAD (IRE)","AVE MARIA (GB)",,60,,,,,,,,,,,
"SAYIDAH DARIYAN (IRE)",2022,FILLY,"DARIYAN (FR)","TENCARATRUBIESLACE (FR)","Richard Hughes",107,,,,,,,,,,,
"SAYIDAH HARD SPUN (GB)",2023,FILLY,"UBETTABELIEVEIT (IRE)","ILLIES MEMORIES (IRE)",,84,,,,,,,,,,,
