Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"AL MASLOOL (GB)",2023,GELDING,"DARK ANGEL (IRE)","ZURIGHA (IRE)","William Haggas",68,,,,,,,,,,,
"AL MOOTAMARID (IRE)",2021,GELDING,"KINGMAN (GB)","FLECHE D'OR (GB)","Ryan Hatch",74,,,,,,,,,100,,
"AL MUBHIR (GB)",2019,GELDING,"FRANKEL (GB)","MUFFRI'HA (IRE)","Kevin Ryan",93,,,,,,,,,,,
"AL MUDDY (GB)",2020,GELDING,"KOROPICK (IRE)","SHE'S SO PRETTY (IRE)","Seb Spencer",62,,,,,,,,,,,
"AL MUQDAD (GB)",2020,GELDING,"ZOUSTAR (AUS)","MISS WORK OF ART (GB)","Patrick Neville",68,,,,,,,,,,,
"AL NAJASHI (GB)",2023,COLT,"TERRITORIES (IRE)","AL HAJEES (GB)","Ollie Sangster",92,,,,,,,,,,,
"AL NAYYIR (GB)",2018,GELDING,"DUBAWI (IRE)","BRIGHT BEACON (GB)","Tom Clover",113,,,,,,,,,,,
"AL QAREEM (IRE)",2019,GELDING,"AWTAAD (IRE)","MOQLA (GB)","K. R. Burke",113,,,,,,,,,,,
"AL QUDRA (IRE)",2022,GELDING,"NO NAY NEVER (USA)","PIECE OF PARADISE (IRE)","Charlie Appleby",105,,,,,,,,,,,
"AL RUFAA (FR)",2017,GELDING,"KINGMAN (GB)","CLARMINA (IRE)",,72,,,,,,,,,,,
"AL SAYAH (GB)",2020,FILLY,"GOLDEN HORN (GB)","ACQUISITION (GB)","Neil Mulholland",73,,,,,,,,,125,,
"AL SHABAB STORM (GB)",2021,GELDING,"ADVERTISE (GB)","PRINCESS SALAMAH (IRE)","Michael Appleby",102,,,,,,,,,,,
"AL SUIL EILE (FR)",2016,GELDING,"ALHEBAYEB (IRE)","VISUAL ELEMENT (USA)","Derek Shaw",53,,,,,,,,,,,
"AL WAQIDI (GB)",2018,GELDING,"DUBAWI (IRE)","KAZZIANA (GB)",,63,,,,,,,,,,,
"AL WASL STORM (IRE)",2022,COLT,"AFFINISEA (IRE)","DEARBORN (FR)","Faye Bramley",91,,,,,,,,,,,
"AL WATHBA (FR)",2024,COLT,"WOOTTON BASSETT (GB)","HIDDEN BREEZE (GB)","Charlie Appleby",91,new,,,,,,,,,,
"AL ZA'AMA (IRE)",2023,GELDING,"KHALIFA SAT (IRE)","MY SILVER BULLET (IRE)","Donald McCain",62,,,,,,,,,,,
"AL ZANATI (GB)",2023,COLT,"DUBAWI (IRE)","DIVINE IMAGE (USA)","Charlie Appleby",106,,,,,,,,,,,
"AL'S RIVER (IRE)",2023,GELDING,"ALKUMAIT (GB)","PECHORA (IRE)","James Horton",59,,,,,,,,,,,
"ALAFDHAL (IRE)",2018,GELDING,"LOPE DE VEGA (IRE)","AFDHAAD (GB)","Phil McEntee",50,,,,,,,,,,,
"ALAMINOS (GB)",2023,COLT,"PINATUBO (IRE)","JUMIRA PRINCESS (IRE)","Edward Bethell",82,,,,,,,,,,,
"ALAN BRESIL (GB)",2020,GELDING,"BLUE BRESIL (FR)","SMUGLIN (GB)","Nick Scholfield",,,,,,,,,,97,,
